group,subgroup,date,date_end,title,deadline,content,example,evaluations
Introduction,Session 1,2022-09-02,,Introduction to experimental designs and motivation,,content/01-content,example/rstudio-tidyverse,
Introduction,Session 1,2022-09-08,,Weekly check-in 1,23:55,,,evaluations/weekly-check-in
Introduction,Session 1,2022-09-08,,Problem set 1,23:55,,,evaluations/01-problem-set
Introduction,Session 2,2022-09-09,,Review of key statistics concepts,,content/02-content,,
Introduction,Session 2,2022-09-15,,Weekly check-in 2,23:55,,,evaluations/weekly-check-in
Introduction,Session 2,2022-09-15,,Problem set 2,23:55,,,evaluations/02-problem-set
Completely randomized designs,Session 3,2022-09-16,,Completely randomized designs with one factor,,content/03-content,,
Completely randomized designs,Session 3,2022-09-22,,Weekly check-in 3,23:55,,,evaluations/weekly-check-in
Completely randomized designs,Session 3,2022-09-22,,Problem set 3,23:55,,,evaluations/03-problem-set
